url	team_a_name	team_a_odds	team_b_name	team_b_odds	recorded_date	pred	winner	bet	winnings	date
https://www.vlr.gg/508818/drx-vs-gen-g-vct-2025-pacific-stage-2-w1	DRX	2.1	GENG	1.65	07/15/2025, 23:21:21	BG	B	500	825.0	2025-07-16 06:35:00
https://www.vlr.gg/508819/rex-regum-qeon-vs-global-esports-vct-2025-pacific-stage-2-w1	RRQ	1.15	GE	4.8	07/15/2025, 18:52:15	B	B	100	480.0	2025-07-17 04:00:00
https://www.vlr.gg/508820/zeta-division-vs-detonation-focusme-vct-2025-pacific-stage-2-w1	ZETA	1.65	DFM	2.1	07/15/2025, 18:52:19	A	B	100	0	2025-07-17 06:15:00
https://www.vlr.gg/508823/global-esports-vs-team-secret-vct-2025-pacific-stage-2-w1	GE	1.85	TS	1.85	07/15/2025, 18:52:30	B	B	100	185.0	2025-07-19 04:00:00
https://www.vlr.gg/508824/paper-rex-vs-detonation-focusme-vct-2025-pacific-stage-2-w1	PRX	1.02	DFM	10.0	07/15/2025, 18:52:34	AG	A	500	510.0	2025-07-19 07:00:00
https://www.vlr.gg/508825/talon-vs-zeta-division-vct-2025-pacific-stage-2-w1	TLN	1.35	ZETA	2.9	07/15/2025, 19:02:37	A	A	100	135.0	2025-07-20 04:00:00
https://www.vlr.gg/508826/rex-regum-qeon-vs-gen-g-vct-2025-pacific-stage-2-w1	RRQ	3.1	GENG	1.32	07/15/2025, 18:52:43	BG	A	500	0	2025-07-20 07:00:00
https://www.vlr.gg/508828/gen-g-vs-global-esports-vct-2025-pacific-stage-2-w2	GENG	1.06	GE	7.0	07/22/2025, 09:00:48	AG	A	500	530.0	2025-07-25 04:00:00
https://www.vlr.gg/508829/talon-vs-detonation-focusme-vct-2025-pacific-stage-2-w2	TLN	1.28	DFM	3.3	07/22/2025, 09:00:51	A	B	100	0	2025-07-25 07:00:00
https://www.vlr.gg/508830/t1-vs-zeta-division-vct-2025-pacific-stage-2-w2	T1	1.08	ZETA	6.3	07/22/2025, 09:00:54	AG	A	500	540.0	2025-07-26 04:00:00
https://www.vlr.gg/508831/rex-regum-qeon-vs-nongshim-redforce-vct-2025-pacific-stage-2-w2	RRQ	1.72	NS	2.0	07/22/2025, 09:00:57	AG	A	500	860.0	2025-07-26 07:00:00
https://www.vlr.gg/508833/boom-esports-vs-paper-rex-vct-2025-pacific-stage-2-w2	BOOM	7.0	PRX	1.06	07/22/2025, 09:01:03	BG	B	500	530.0	2025-07-27 07:00:00
https://www.vlr.gg/508834/gen-g-vs-team-secret-vct-2025-pacific-stage-2-w3	GENG	1.3	TS	3.2	07/26/2025, 10:08:23	AG	A	500	650.0	2025-08-01 04:00:00
https://www.vlr.gg/508835/talon-vs-t1-vct-2025-pacific-stage-2-w3	TLN	2.4	T1	1.5	07/26/2025, 10:08:31	B	A	100	0	2025-08-01 07:00:00
https://www.vlr.gg/508836/boom-esports-vs-detonation-focusme-vct-2025-pacific-stage-2-w3	BOOM	1.85	DFM	1.85	07/29/2025, 10:56:13	B	B	100	185.0	2025-08-02 04:00:00
https://www.vlr.gg/508837/rex-regum-qeon-vs-drx-vct-2025-pacific-stage-2-w3	RRQ	1.82	DRX	1.88	07/29/2025, 10:56:15	A	B	100	0	2025-08-02 07:00:00
https://www.vlr.gg/508838/nongshim-redforce-vs-global-esports-vct-2025-pacific-stage-2-w3	NS	1.75	GE	1.95	07/29/2025, 10:56:18	B	A	100	0	2025-08-03 04:00:00
https://www.vlr.gg/508839/paper-rex-vs-zeta-division-vct-2025-pacific-stage-2-w3	PRX	1.02	ZETA	10.0	07/29/2025, 10:56:21	AG	B	500	0	2025-08-03 07:00:00
https://www.vlr.gg/509801/cloud9-vs-furia-vct-2025-americas-stage-2-w1	C9	1.15	FUR	4.8	07/15/2025, 23:22:37	AG	A	500	575.0	2025-07-18 17:00:00
https://www.vlr.gg/509802/leviat-n-vs-loud-vct-2025-americas-stage-2-w1	LEV	1.72	LOUD	2.0	07/15/2025, 23:22:40	AG	B	500	0	2025-07-18 19:10:00
https://www.vlr.gg/509803/evil-geniuses-vs-2game-esports-vct-2025-americas-stage-2-w1	EG	1.15	2G	4.8	07/15/2025, 23:22:45	A	A	100	114.99999999999999	2025-07-19 17:00:00
https://www.vlr.gg/509804/mibr-vs-kr-esports-vct-2025-americas-stage-2-w1	MIBR	1.65	KRU	2.1	07/15/2025, 23:22:48	B	B	100	210.0	2025-07-19 20:00:00
https://www.vlr.gg/509805/100-thieves-vs-nrg-vct-2025-americas-stage-2-w1	100T	1.9	NRG	1.8	07/15/2025, 18:54:38	B	A	100	0	2025-07-20 17:00:00
https://www.vlr.gg/509806/sentinels-vs-g2-esports-vct-2025-americas-stage-2-w1	SEN	2.15	G2	1.62	07/15/2025, 18:54:43	BG	A	500	0	2025-07-20 20:00:00
https://www.vlr.gg/509807/2game-esports-vs-g2-esports-vct-2025-americas-stage-2-w2	2G	5.0	G2	1.13	07/22/2025, 09:01:42	BG	B	500	565.0	2025-07-25 17:00:00
https://www.vlr.gg/509808/furia-vs-sentinels-vct-2025-americas-stage-2-w2	FUR	5.8	SEN	1.1	07/22/2025, 09:01:45	BG	B	500	550.0	2025-07-25 20:00:00
https://www.vlr.gg/509810/nrg-vs-loud-vct-2025-americas-stage-2-w2	NRG	1.4	LOUD	2.7	07/22/2025, 09:01:51	BG	A	500	0	2025-07-26 20:00:00
https://www.vlr.gg/509811/cloud9-vs-evil-geniuses-vct-2025-americas-stage-2-w2	C9	1.5	EG	2.4	07/22/2025, 09:01:53	A	A	100	150.0	2025-07-27 17:00:00
https://www.vlr.gg/509813/2game-esports-vs-furia-vct-2025-americas-stage-2-w3	2G	1.92	FUR	1.78	07/29/2025, 10:56:41	A	A	100	192.0	2025-08-01 17:00:00
https://www.vlr.gg/509814/leviat-n-vs-nrg-vct-2025-americas-stage-2-w3	LEV	2.2	NRG	1.58	07/29/2025, 10:56:43	B	B	100	158.0	2025-08-01 20:00:00
https://www.vlr.gg/509816/mibr-vs-100-thieves-vct-2025-americas-stage-2-w3	MIBR	2.3	100T	1.55	07/29/2025, 10:56:48	B	A	100	0	2025-08-02 20:00:00
https://www.vlr.gg/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3	G2	1.32	EG	3.1	07/29/2025, 10:56:51	AG	A	500	660.0	2025-08-03 17:00:00
https://www.vlr.gg/509818/loud-vs-kr-esports-vct-2025-americas-stage-2-w3	LOUD	2.5	KRU	1.48	07/29/2025, 10:56:54	A	B	100	0	2025-08-03 20:00:00
https://www.vlr.gg/511543/natus-vincere-vs-apeks-vct-2025-emea-stage-2-w1	NAVI	1.32	APK	3.1	07/15/2025, 23:24:28	AG	A	500	660.0	2025-07-16 11:00:00
https://www.vlr.gg/511544/team-vitality-vs-giantx-vct-2025-emea-stage-2-w1	VIT	1.28	GX	3.3	07/16/2025, 11:44:07	AG	B	500	0	2025-07-16 13:50:00
https://www.vlr.gg/511546/team-liquid-vs-koi-vct-2025-emea-stage-2-w1	TL	1.08	KOI	6.3	07/15/2025, 23:24:45	AG	A	500	540.0	2025-07-17 14:30:00
https://www.vlr.gg/511547/team-heretics-vs-bbl-esports-vct-2025-emea-stage-2-w1	TH	1.55	BBL	2.3	07/15/2025, 19:05:47	AG	A	500	775.0	2025-07-18 11:00:00
https://www.vlr.gg/511548/fnatic-vs-karmine-corp-vct-2025-emea-stage-2-w1	FNC	1.32	KC	3.1	07/15/2025, 18:56:35	A	A	100	132.0	2025-07-18 14:15:00
https://www.vlr.gg/511549/apeks-vs-karmine-corp-vct-2025-emea-stage-2-w2	APK	5.3	KC	1.12	07/20/2025, 15:15:50	BG	B	500	560.0	2025-07-23 11:00:00
https://www.vlr.gg/511550/giantx-vs-bbl-esports-vct-2025-emea-stage-2-w2	GX	3.1	BBL	1.32	07/20/2025, 15:15:56	BG	A	500	0	2025-07-23 14:00:00
https://www.vlr.gg/511551/team-liquid-vs-natus-vincere-vct-2025-emea-stage-2-w2	TL	1.3	NAVI	3.2	07/20/2025, 15:16:01	AG	A	500	650.0	2025-07-24 11:00:00
https://www.vlr.gg/511552/gentle-mates-vs-team-heretics-vct-2025-emea-stage-2-w2	M8	4.4	TH	1.17	07/22/2025, 09:03:31	BG	B	500	585.0	2025-07-24 14:00:00
https://www.vlr.gg/511553/fut-esports-vs-team-vitality-vct-2025-emea-stage-2-w2	FUT	1.58	VIT	2.2	07/20/2025, 15:16:10	A	B	100	0	2025-07-25 11:00:00
https://www.vlr.gg/511554/koi-vs-fnatic-vct-2025-emea-stage-2-w2	KOI	8.0	FNC	1.04	07/20/2025, 15:16:15	BG	B	500	520.0	2025-07-25 14:00:00
https://www.vlr.gg/511562/fut-esports-vs-giantx-vct-2025-emea-stage-2-w3	FUT	1.62	GX	2.15	07/29/2025, 18:11:16	B	A	100	0	2025-07-30 11:00:00
https://www.vlr.gg/511563/gentle-mates-vs-bbl-esports-vct-2025-emea-stage-2-w3	M8	2.4	BBL	1.5	07/29/2025, 10:57:32	BG	B	500	750.0	2025-07-30 14:00:00
https://www.vlr.gg/511564/team-liquid-vs-apeks-vct-2025-emea-stage-2-w3	TL	1.22	APK	3.8	07/29/2025, 10:57:35	AG	A	500	610.0	2025-07-31 11:00:00
https://www.vlr.gg/511565/koi-vs-karmine-corp-vct-2025-emea-stage-2-w3	KOI	3.8	KC	1.22	07/29/2025, 10:57:38	A	B	100	0	2025-07-31 14:00:00
https://www.vlr.gg/511566/natus-vincere-vs-fnatic-vct-2025-emea-stage-2-w3	NAVI	4.0	FNC	1.2	07/29/2025, 18:11:20	BG	B	500	600.0	2025-08-01 11:00:00
https://www.vlr.gg/511567/team-vitality-vs-team-heretics-vct-2025-emea-stage-2-w3	VIT	2.5	TH	1.48	07/29/2025, 10:57:44	B	B	100	148.0	2025-08-01 14:00:00
https://www.vlr.gg/511568/fut-esports-vs-team-heretics-vct-2025-emea-stage-2-w4	FUT	2.7	TH	1.42	08/05/2025, 09:32:36	BG	B	500	710.0	2025-08-06 11:00:00
